start...
Epoch: 1 / 10000, Score: -1300,  block: 22,  Reward: -12.9 Cleared lines: 0
Epoch: 2 / 10000, Score: -1300,  block: 22,  Reward: -12.9 Cleared lines: 0
Epoch: 3 / 10000, Score: -1300,  block: 13,  Reward: -6.2 Cleared lines: 0
Epoch: 4 / 10000, Score: -1300,  block: 25,  Reward: -16.8 Cleared lines: 0
Epoch: 5 / 10000, Score: -1300,  block: 19,  Reward: -14.4 Cleared lines: 0
Epoch: 6 / 10000, Score: -1300,  block: 27,  Reward: -18.0 Cleared lines: 0
Epoch: 7 / 10000, Score: -1300,  block: 23,  Reward: -14.2 Cleared lines: 0
Epoch: 8 / 10000, Score: -1300,  block: 23,  Reward: -12.2 Cleared lines: 0
Epoch: 9 / 10000, Score: -1300,  block: 18,  Reward: -11.8 Cleared lines: 0
Epoch: 10 / 10000, Score: -1300,  block: 22,  Reward: -11.6 Cleared lines: 0
Epoch: 11 / 10000, Score: -1300,  block: 19,  Reward: -10.3 Cleared lines: 0
Epoch: 12 / 10000, Score: -1300,  block: 23,  Reward: -15.3 Cleared lines: 0
Epoch: 13 / 10000, Score: -1300,  block: 22,  Reward: -12.9 Cleared lines: 0
Epoch: 14 / 10000, Score: -1300,  block: 18,  Reward: -10.2 Cleared lines: 0
Epoch: 15 / 10000, Score: -1300,  block: 19,  Reward: -11.0 Cleared lines: 0
Epoch: 16 / 10000, Score: -1300,  block: 22,  Reward: -10.4 Cleared lines: 0
Epoch: 17 / 10000, Score: -1300,  block: 25,  Reward: -16.5 Cleared lines: 0
Epoch: 18 / 10000, Score: -1300,  block: 19,  Reward: -12.0 Cleared lines: 0
Epoch: 19 / 10000, Score: -1300,  block: 27,  Reward: -16.9 Cleared lines: 0
Epoch: 20 / 10000, Score: -1300,  block: 24,  Reward: -15.2 Cleared lines: 0
Epoch: 21 / 10000, Score: -1300,  block: 19,  Reward: -9.6 Cleared lines: 0
Epoch: 22 / 10000, Score: -1300,  block: 23,  Reward: -13.3 Cleared lines: 0
Epoch: 23 / 10000, Score: -1300,  block: 23,  Reward: -15.6 Cleared lines: 0
Epoch: 24 / 10000, Score: -1300,  block: 16,  Reward: -11.8 Cleared lines: 0
Epoch: 25 / 10000, Score: -1300,  block: 20,  Reward: -12.1 Cleared lines: 0
Epoch: 26 / 10000, Score: -1300,  block: 17,  Reward: -8.7 Cleared lines: 0
Epoch: 27 / 10000, Score: -1300,  block: 14,  Reward: -8.2 Cleared lines: 0
Epoch: 28 / 10000, Score: -1300,  block: 24,  Reward: -16.8 Cleared lines: 0
Epoch: 29 / 10000, Score: -1300,  block: 27,  Reward: -14.0 Cleared lines: 0
Epoch: 30 / 10000, Score: -1300,  block: 25,  Reward: -13.6 Cleared lines: 0
Epoch: 31 / 10000, Score: -1200,  block: 30,  Reward: -16.6 Cleared lines: 1
Epoch: 32 / 10000, Score: -1300,  block: 22,  Reward: -12.6 Cleared lines: 0
Epoch: 33 / 10000, Score: -1300,  block: 23,  Reward: -13.5 Cleared lines: 0
Epoch: 34 / 10000, Score: -1300,  block: 23,  Reward: -15.1 Cleared lines: 0
Epoch: 35 / 10000, Score: -1300,  block: 21,  Reward: -12.8 Cleared lines: 0
Epoch: 36 / 10000, Score: -1300,  block: 23,  Reward: -14.0 Cleared lines: 0
Epoch: 37 / 10000, Score: -1300,  block: 21,  Reward: -10.5 Cleared lines: 0
Epoch: 38 / 10000, Score: -1300,  block: 14,  Reward: -8.1 Cleared lines: 0
Epoch: 39 / 10000, Score: -1300,  block: 17,  Reward: -9.0 Cleared lines: 0
Epoch: 40 / 10000, Score: -1300,  block: 11,  Reward: -6.3 Cleared lines: 0
Epoch: 41 / 10000, Score: -1300,  block: 15,  Reward: -9.3 Cleared lines: 0
Epoch: 42 / 10000, Score: -1300,  block: 23,  Reward: -14.8 Cleared lines: 0
Epoch: 43 / 10000, Score: -1300,  block: 29,  Reward: -17.5 Cleared lines: 0
Epoch: 44 / 10000, Score: -1300,  block: 23,  Reward: -12.6 Cleared lines: 0
Epoch: 45 / 10000, Score: -1300,  block: 25,  Reward: -13.8 Cleared lines: 0
Epoch: 46 / 10000, Score: -1300,  block: 26,  Reward: -16.0 Cleared lines: 0
Epoch: 47 / 10000, Score: -1300,  block: 21,  Reward: -12.7 Cleared lines: 0
Epoch: 48 / 10000, Score: -1300,  block: 14,  Reward: -9.0 Cleared lines: 0
Epoch: 49 / 10000, Score: -1300,  block: 23,  Reward: -10.5 Cleared lines: 0
Epoch: 50 / 10000, Score: -1300,  block: 21,  Reward: -11.3 Cleared lines: 0
Epoch: 51 / 10000, Score: -1300,  block: 21,  Reward: -12.1 Cleared lines: 0
Epoch: 52 / 10000, Score: -1300,  block: 15,  Reward: -9.2 Cleared lines: 0
Epoch: 53 / 10000, Score: -1300,  block: 27,  Reward: -19.5 Cleared lines: 0
Epoch: 54 / 10000, Score: -1300,  block: 20,  Reward: -11.4 Cleared lines: 0
Epoch: 55 / 10000, Score: -1300,  block: 20,  Reward: -11.8 Cleared lines: 0
Epoch: 56 / 10000, Score: -1300,  block: 22,  Reward: -11.2 Cleared lines: 0
Epoch: 57 / 10000, Score: -1300,  block: 23,  Reward: -13.8 Cleared lines: 0
Epoch: 58 / 10000, Score: -1300,  block: 20,  Reward: -11.6 Cleared lines: 0
Epoch: 59 / 10000, Score: -1300,  block: 20,  Reward: -12.0 Cleared lines: 0
Epoch: 60 / 10000, Score: -1300,  block: 23,  Reward: -11.3 Cleared lines: 0
Epoch: 61 / 10000, Score: -1300,  block: 16,  Reward: -7.8 Cleared lines: 0
Epoch: 62 / 10000, Score: -1300,  block: 19,  Reward: -10.7 Cleared lines: 0
Epoch: 63 / 10000, Score: -1300,  block: 27,  Reward: -18.9 Cleared lines: 0
Epoch: 64 / 10000, Score: -1300,  block: 23,  Reward: -15.3 Cleared lines: 0
Epoch: 65 / 10000, Score: -1300,  block: 22,  Reward: -8.4 Cleared lines: 0
Epoch: 66 / 10000, Score: -1300,  block: 24,  Reward: -14.8 Cleared lines: 0
Epoch: 67 / 10000, Score: -1300,  block: 19,  Reward: -11.8 Cleared lines: 0
Epoch: 68 / 10000, Score: -1300,  block: 23,  Reward: -14.6 Cleared lines: 0
Epoch: 69 / 10000, Score: -1300,  block: 23,  Reward: -16.9 Cleared lines: 0
Epoch: 70 / 10000, Score: -1300,  block: 27,  Reward: -16.0 Cleared lines: 0
Epoch: 71 / 10000, Score: -1300,  block: 23,  Reward: -16.4 Cleared lines: 0
Epoch: 72 / 10000, Score: -1300,  block: 22,  Reward: -13.1 Cleared lines: 0
Epoch: 73 / 10000, Score: -1300,  block: 21,  Reward: -11.4 Cleared lines: 0
Epoch: 74 / 10000, Score: -1300,  block: 26,  Reward: -14.6 Cleared lines: 0
Epoch: 75 / 10000, Score: -1300,  block: 22,  Reward: -14.1 Cleared lines: 0
Epoch: 76 / 10000, Score: -1300,  block: 31,  Reward: -19.1 Cleared lines: 0
Epoch: 77 / 10000, Score: -1300,  block: 18,  Reward: -8.9 Cleared lines: 0
Epoch: 78 / 10000, Score: -1300,  block: 24,  Reward: -10.4 Cleared lines: 0
Epoch: 79 / 10000, Score: -1300,  block: 25,  Reward: -13.1 Cleared lines: 0
Epoch: 80 / 10000, Score: -1300,  block: 27,  Reward: -14.8 Cleared lines: 0
Epoch: 81 / 10000, Score: -1300,  block: 25,  Reward: -17.9 Cleared lines: 0
Epoch: 82 / 10000, Score: -1300,  block: 18,  Reward: -9.5 Cleared lines: 0
Epoch: 83 / 10000, Score: -1300,  block: 20,  Reward: -11.7 Cleared lines: 0
Epoch: 84 / 10000, Score: -1300,  block: 17,  Reward: -9.0 Cleared lines: 0
Epoch: 85 / 10000, Score: -1300,  block: 22,  Reward: -16.1 Cleared lines: 0
Epoch: 86 / 10000, Score: -1300,  block: 23,  Reward: -13.0 Cleared lines: 0
Epoch: 87 / 10000, Score: -1300,  block: 28,  Reward: -16.6 Cleared lines: 0
Epoch: 88 / 10000, Score: -1200,  block: 26,  Reward: -12.8 Cleared lines: 1
Epoch: 89 / 10000, Score: -1300,  block: 25,  Reward: -13.9 Cleared lines: 0
Epoch: 90 / 10000, Score: -1300,  block: 21,  Reward: -9.1 Cleared lines: 0
Epoch: 91 / 10000, Score: -1300,  block: 21,  Reward: -9.9 Cleared lines: 0
